Algorithm,Distribution,Size,Time
Quick Sort,random,1000,0.004324197769165039
Merge Sort,random,1000,0.011018753051757812
Heap Sort,random,1000,0.0065114498138427734
Quick Sort,sorted,1000,0.0027282238006591797
Merge Sort,sorted,1000,0.00728154182434082
Heap Sort,sorted,1000,0.0001742839813232422
Quick Sort,reversed,1000,0.004146099090576172
Merge Sort,reversed,1000,0.005828380584716797
Heap Sort,reversed,1000,0.00032258033752441406
Quick Sort,nearly_sorted,1000,0.0056116580963134766
Merge Sort,nearly_sorted,1000,0.006005764007568359
Heap Sort,nearly_sorted,1000,0.0001926422119140625
Quick Sort,random,10000,0.048985958099365234
Merge Sort,random,10000,0.08677077293395996
Heap Sort,random,10000,0.003535747528076172
Quick Sort,sorted,10000,0.042122602462768555
Merge Sort,sorted,10000,0.05736732482910156
Heap Sort,sorted,10000,0.0003581047058105469
Quick Sort,reversed,10000,0.0416562557220459
Merge Sort,reversed,10000,0.061574697494506836
Heap Sort,reversed,10000,0.0004544258117675781
Quick Sort,nearly_sorted,10000,0.04364967346191406
Merge Sort,nearly_sorted,10000,0.08190107345581055
Heap Sort,nearly_sorted,10000,0.0015988349914550781
Quick Sort,random,100000,0.6050200462341309
Merge Sort,random,100000,1.0547733306884766
Heap Sort,random,100000,0.05580306053161621
Quick Sort,sorted,100000,0.42261838912963867
Merge Sort,sorted,100000,0.5952999591827393
Heap Sort,sorted,100000,0.004824638366699219
Quick Sort,reversed,100000,0.4474608898162842
Merge Sort,reversed,100000,0.6395854949951172
Heap Sort,reversed,100000,0.004533290863037109
Quick Sort,nearly_sorted,100000,0.4798462390899658
Merge Sort,nearly_sorted,100000,0.9744296073913574
Heap Sort,nearly_sorted,100000,0.03374004364013672
